personId,display,teams,name_keys,GP
2585672,C. Mc Evans,WEL,WEL/Mc EVANS/CAMERON,5
2134156,J. Lamas,BIG,BIG/LAMAS/JOAQUIN,5
2620319,E. Buckner,UUN,UUN/BUCKNER/ERIC,5
2386796,T. Segui,WEL,WEL/SEGUI/THOMAS,4
2432773,J. Hartwell,GOE,GOE/HARTWELL/JAMAL,4
2534719,K. Higgins,COR,COR/HIGGINS/KALEB,4
2549330,L. Gomez,UAT,UAT/GOMEZ/LAUTARO,4
2225721,L. Imas,CNF,CNF/IMAS/LUIS PEDRO,4
2228946,F. Caballero,GOE,GOE/CABALLERO/FACUNDO,4
1945674,T. Bentancour,HYM,HYM/BENTANCOUR/TIAGO,4
2325518,F. Moleda,UUN,UUN/MOLEDA/FRANCISCO,4
2620613,E. Ewing,DSC,DSC/EWING/EDEN,4
825306,G. Curbelo,GOE,GOE/CURBELO/GUILLERMO,4
921915,D. Robinson,AGU,AGU/ROBINSON/DONALD; AGU/Robinson/Donald,4
1457105,F. Satut Hornos,UUN,UUN/SATUT HORNOS/FELIPE,3
2534732,A. Rand,GOE,GOE/RAND/AHMAD,3
1983439,C. Gagliano,MAL,MAL/GAGLIANO/CAMILO,3
16985,R. Cardozo,WEL,WEL/CARDOZO/RODRIGO,3
1940451,M. Cuervo,DSC,DSC/CUERVO/MATIAS; DSC/Cuervo/Matías,3
2344218,J. Diaz,BIG,BIG/DIAZ/JUAN,3
2544022,A. Sosa,BIG,BIG/SOSA/ALAN,3
2225720,F. Pereira,CNF,CNF/PEREIRA/FRANCISCO,3
771526,R. Jackson,WEL,WEL/JACKSON/RICK,3
2699789,H. Thompson,UUN,UUN/THOMPSON/HOLLIS,3
1639448,V. Rudd,DSC,DSC/RUDD/VICTOR,3
2698439,M. Henry,HYM,HYM/HENRY/MYKE,3
2250412,M. Soto,DSC,DSC/SOTO/MELVIN,2
2334035,J. Terra,GOE,GOE/TERRA/JUAN IGNACIO,2
2232160,S. Garcia,COR,COR/GARCIA/SANTIAGO,2
2405599,G. Rodriguez,DSC,DSC/RODRIGUEZ/GUILLERMO; DSC/Rodriguez/Guillermo,2
2377994,S. Martinez,WEL,WEL/MARTINEZ/SANTIAGO,2
14735,I. Loriente,UAT,UAT/LORIENTE/IVAN,2
2197574,M. Simon,AGU,AGU/SIMON/MIGUEL,2
2212601,G. Volcan,HYM,HYM/VOLCAN/GERONIMO,2
2345184,S. Chanes,HYM,HYM/CHANES/SANTIAGO,2
2397427,A. Perez,MAL,MAL/PEREZ/AGUSTIN,2
2549334,R. Lagos,WEL,WEL/LAGOS/RUDY,2
2321115,C. Guyton,MAL,MAL/GUYTON/CARLTON; MAL/Guyton/Carlton,2
2549324,S. Tricot,DSC,DSC/TRICOT/SANTIAGO,1
1675913,J. Brisset,UAT,UAT/BRISSET/JUAN MANUEL,1
2549331,R. Schellemberg,UUN,UUN/SCHELLEMBERG/RAFAEL,1
2549327,F. Rivor,GOE,GOE/RIVOIR/FACUNDO,1
2549321,L. San Sebastian,COR,COR/SAN SEBASTIAN/LUCA,1
2549320,I. Ramirez,AGU,AGU/RAMIREZ/IGNACIO,1
2334029,F. Giovanetti,WEL,WEL/GIOVANETTI/FRANCISCO,1
2134181,L. Quiñones,CAP,CAP/QUIÑONES/LEANDRO,1
2549323,J. Agostini,COR,COR/AGOSTINI/JULIAN,1
2334033,M. Prota,WEL,WEL/PROTA/MASSIMINO,1
2383405,F. De Leon,DSC,DSC/DE LEON/FABRIZIO,1
2549322,M. Macias,COR,COR/MACIAS/MATHEO,1
2549326,F. Gastaldi,GOE,GOE/GASTALDI/FELIPE,1
2616169,A. Aron,DSC,DSC/Aron/Andres,1
2610301,F. Taborda,UAT,UAT/TABORDA/FACUNDO,1
2695203,J. Gonzalez,BIG,BIG/Gonzalez/Joaquin,1
2686619,R. Robaina,GOE,GOE/ROBAINA/RODRIGO,1
LOCAL:GOE-SERVENTICH,M. Serventich,GOE,GOE/SERVENTICH/MARTIN,1
2702537,C. Platero,WEL,WEL/Platero/Caetano ,1
2451012,A. Zaporta,WEL,WEL/ZAPORTA/ARLE,1
2706600,R. Perry,COR,COR/PERRY/ROB,1
