rank,personId,name,team,pos,GP,PPG,RPG,APG,qualified
53,16717,G. Semiglia,HYM,F,16,8.8,2.5,2.8,True
54,1430994,J. Rodriguez,AGU,F,22,8.8,2.6,1.3,True
55,15257,F. Medina,COR,G,21,8.8,1.7,3.2,True
56,909792,A. Arevalo,WEL,F,11,8.8,5.1,2.1,True
57,1765563,A. Moller,UUN,F,18,8.7,4.2,1.1,True
58,43252,M. Sarni,UUN,G,22,8.6,4.5,9.6,True
59,571401,X. Couste,GOE,F,16,8.6,1.7,0.9,True
60,1719070,J. Ortiz,WEL,G,11,8.5,3.0,1.8,True
61,208488,J. Ducasse,UAT,F,22,8.3,6.5,1.2,True
62,1346396,S. Fernandez,MAL,G,22,8.3,3.1,2.8,True
63,2074488,M. Benitez,UUN,PF,20,8.2,4.5,0.9,True
64,16508,A. Acosta,GOE,G,18,8.2,2.6,3.7,True
65,16807,A. Lopez,UAT,SG,22,8.1,2.4,1.0,True
66,727814,I. Xavier,HYM,F,21,7.9,4.2,1.9,True
67,1714808,B. Curadossi,UUN,PG,22,7.8,3.5,2.0,True
68,17571,F. Pereiras,AGU,PG,22,7.7,2.5,1.5,True
69,539387,F. Soto,DSC,F,18,7.7,3.6,1.5,True
70,1894506,A. Mendez,CNF,G,22,7.5,2.4,2.2,True
71,17669,G. Espindola,CNF,F,22,7.5,4.8,1.5,True
72,15216,E. Gonzalez,COR,F,22,7.4,3.7,1.8,True
73,15259,S. Zanotta,HYM,G,21,7.3,2.9,5.6,True
74,17044,F. Verrone,GOE,PF,19,7.3,3.9,1.4,True
75,983931,T. Leites,COR,F,22,7.3,2.9,1.1,True
76,16177,M. Romero,MAL,G,22,7.1,3.0,2.7,True
77,1942261,M. Espinosa,BIG,G,21,7.0,2.7,2.7,True
78,17046,M. Zubiaurre,DSC,G,22,6.9,2.9,2.0,True
79,258698,M. Mayora,HYM,G,21,6.6,2.8,2.6,True
80,999249,M. Bianchi,DSC,PF,22,6.6,3.4,1.0,True
81,17677,B. Barrera,CNF,F,22,6.5,2.4,0.9,True
82,258681,M. Rojas,CAP,PF,21,6.2,5.9,2.1,True
83,968070,G. Souza,UAT,F,13,6.2,2.5,1.2,True
84,1989296,T. Rodriguez,BIG,G,22,5.5,1.3,1.3,True
85,15196,M. Cabot,CNF,G,19,5.5,1.4,0.9,True
86,1314581,R. Previatti,WEL,PF,21,5.3,2.7,0.8,True
87,17379,P. Rusch,COR,G,22,5.3,3.1,3.6,True
88,1642407,D. Pena Garcia,WEL,F,20,4.8,2.4,1.1,True
89,17488,K. Wachsman,MAL,PF,22,4.6,7.5,0.9,True
90,17110,O. Medina,MAL,F,22,4.6,2.6,0.5,True
91,1661038,P. Gomez,CNF,C,17,4.6,3.5,0.5,True
92,2154756,I. Dos Santos,GOE,F,17,4.3,0.5,0.2,True
93,1644398,J. Sacco,UUN,PF,19,4.3,3.8,1.5,True
94,16739,G. Barrera,WEL,G,20,4.1,2.1,4.8,True
95,1676246,N. Lema,CAP,PG,15,4.1,2.5,1.1,True
96,16715,B. Garcia,BIG,PG,20,4.0,1.9,0.8,True
97,16616,N. Catala,BIG,F,22,3.8,2.2,0.6,True
98,1509909,S. Calimares,CAP,G,15,3.7,2.1,1.2,True
99,1375364,T. Araujo,COR,F,12,3.7,1.2,0.4,True
100,1723827,M. Mac Mullen,DSC,PG,22,3.6,1.5,0.4,True
101,1717089,A. Gentile,AGU,C,21,3.3,1.5,0.2,True
102,1765561,F. Morales,HYM,PF,20,3.2,1.3,0.5,True
103,2544008,C. Heilmann,CAP,PF,12,3.2,0.5,0.4,True
104,1645559,J. Stoll,WEL,G,22,3.0,1.8,1.8,True
105,1675384,L. Viatri,HYM,C,12,2.8,1.5,0.2,True
106,623893,L. Planells,COR,G,14,2.8,1.4,2.7,True
107,1342734,M. Astramskas,UAT,F,13,2.4,0.8,0.5,True
108,1977269,A. Irastorza,GOE,PF,19,2.3,1.4,0.0,True
109,1937748,M. Rodriguez,UUN,G,14,2.2,1.5,0.6,True
110,17071,F. Bavosi,CAP,G,20,2.2,1.8,1.9,True
111,2158090,M. Fernandez,AGU,PG,21,2.1,0.9,0.5,True
112,1940452,M. Antunez,DSC,G,14,2.1,0.9,0.6,True
113,1569431,N. Bessio,UUN,G,20,1.8,0.6,1.6,True
114,1873515,O. Senande,COR,G,11,1.6,0.8,0.5,True
115,2150245,E. Superi,CNF,G,14,1.4,0.6,0.6,True
116,1760620,J. Galeano,CNF,F,16,1.4,0.4,0.2,True
117,1651515,G. Brun,UAT,G,19,0.9,0.7,0.5,True
118,1807060,M. Viazzo,COR,G,14,0.4,0.4,0.4,True
