personId,name,rank,match_personId,match_name,match_team,match_pos,dist
191820,F. Terra,7,2577763,A. Gilder Jr.,COR,PG,25.3
191820,F. Terra,8,43252,M. Sarni,UUN,G,26.0
191820,F. Terra,9,1346396,S. Fernandez,MAL,G,26.1
191820,F. Terra,10,2321121,J. Feldeine,CNF,G,26.6
191820,F. Terra,11,1645559,J. Stoll,WEL,G,27.0
191820,F. Terra,12,617418,S. Vescovi,CAP,PG,27.0
17691,E. Serres,1,191795,S. Ottonello,BIG,PF,16.7
17691,E. Serres,2,1567203,M. Oyenard,GOE,PG,17.5
17691,E. Serres,3,1314581,R. Previatti,WEL,PF,19.7
17691,E. Serres,4,2486578,A. Nation,HYM,G,19.8
17691,E. Serres,5,1709203,E. Holt,UUN,PF,20.2
17691,E. Serres,6,2486591,Q. Wilson,UAT,PF,20.6
17691,E. Serres,7,17046,M. Zubiaurre,DSC,G,20.7
17691,E. Serres,8,17554,A. Zuvich,AGU,C,20.9
17691,E. Serres,9,17677,B. Barrera,CNF,F,21.1
17691,E. Serres,10,2394559,D. Zekovic,MAL,C,21.4
17691,E. Serres,11,15217,F. Haller,HYM,PF,21.5
17691,E. Serres,12,2534742,T. Daniels,UUN,C,22.3
2486580,J. Canty,1,2620318,J. O'neal,COR,F,11.1
2486580,J. Canty,2,1924909,F. Hassell,BIG,C,16.9
2486580,J. Canty,3,2413907,E. Bell,CNF,PF,18.7
2486580,J. Canty,4,2074488,M. Benitez,UUN,PF,19.0
2486580,J. Canty,5,43224,N. Colmenares,DSC,PF,19.1
2486580,J. Canty,6,2486591,Q. Wilson,UAT,PF,19.9
2486580,J. Canty,7,1871466,A. Pruitt,GOE,PF,20.6
2486580,J. Canty,8,2617486,W. Reed,BIG,C,20.7
2486580,J. Canty,9,2394559,D. Zekovic,MAL,C,20.9
2486580,J. Canty,10,2096885,A. Peña,WEL,PF,21.4
2486580,J. Canty,11,191795,S. Ottonello,BIG,PF,22.3
2486580,J. Canty,12,17554,A. Zuvich,AGU,C,23.6
2617486,W. Reed,1,2486591,Q. Wilson,UAT,PF,16.8
2617486,W. Reed,2,2486580,J. Canty,HYM,C,20.7
2617486,W. Reed,3,2096885,A. Peña,WEL,PF,22.1
2617486,W. Reed,4,2620318,J. O'neal,COR,F,22.5
2617486,W. Reed,5,1924909,F. Hassell,BIG,C,24.2
2617486,W. Reed,6,2413907,E. Bell,CNF,PF,24.5
2617486,W. Reed,7,191795,S. Ottonello,BIG,PF,25.1
2617486,W. Reed,8,2534742,T. Daniels,UUN,C,25.3
2617486,W. Reed,9,2394559,D. Zekovic,MAL,C,25.5
2617486,W. Reed,10,1314626,L. Santos,AGU,C,25.8
2617486,W. Reed,11,15217,F. Haller,HYM,PF,26.6
2617486,W. Reed,12,17554,A. Zuvich,AGU,C,26.6
2486578,A. Nation,1,1430994,J. Rodriguez,AGU,F,19.1
2486578,A. Nation,2,17677,B. Barrera,CNF,F,19.6
2486578,A. Nation,3,17691,E. Serres,CAP,F,19.8
2486578,A. Nation,4,2620614,A. Spruill,COR,G,20.1
2486578,A. Nation,5,1567203,M. Oyenard,GOE,PG,21.3
2486578,A. Nation,6,16717,G. Semiglia,HYM,F,22.2
2486578,A. Nation,7,2534734,J. Cruz,MAL,F,23.4
2486578,A. Nation,8,1714808,B. Curadossi,UUN,PG,23.5
2486578,A. Nation,9,16857,G. Iglesias,BIG,PF,23.6
2486578,A. Nation,10,727814,I. Xavier,HYM,F,24.1
2486578,A. Nation,11,17046,M. Zubiaurre,DSC,G,24.2
2486578,A. Nation,12,191795,S. Ottonello,BIG,PF,25.0
1894506,A. Mendez,1,1642412,S. Hogan,CAP,F,18.4
1894506,A. Mendez,2,14724,S. Vidal,AGU,G,19.7
1894506,A. Mendez,3,1942261,M. Espinosa,BIG,G,20.6
1894506,A. Mendez,4,16511,S. Moglia,WEL,F,21.0
1894506,A. Mendez,5,1722930,P. Prieto,CNF,G,23.1
1894506,A. Mendez,6,2324181,D. Hicks,BIG,G,23.8
1894506,A. Mendez,7,16177,M. Romero,MAL,G,25.7
1894506,A. Mendez,8,17571,F. Pereiras,AGU,PG,25.8
1894506,A. Mendez,9,1676246,N. Lema,CAP,PG,26.7
1894506,A. Mendez,10,1346396,S. Fernandez,MAL,G,27.0
1894506,A. Mendez,11,1989296,T. Rodriguez,BIG,G,27.5
1894506,A. Mendez,12,15251,L. Parodi,CNF,G,28.1
2413907,E. Bell,1,2178363,E. Romero,CAP,C,12.3
2413907,E. Bell,2,1924909,F. Hassell,BIG,C,14.2
2413907,E. Bell,3,1314626,L. Santos,AGU,C,15.7
2413907,E. Bell,4,17554,A. Zuvich,AGU,C,15.9
2413907,E. Bell,5,2534742,T. Daniels,UUN,C,17.6
2413907,E. Bell,6,1975797,A. Ibarguen,CAP,PF,17.7
2413907,E. Bell,7,2486591,Q. Wilson,UAT,PF,17.9
2413907,E. Bell,8,2620318,J. O'neal,COR,F,18.1
2413907,E. Bell,9,43224,N. Colmenares,DSC,PF,18.3
