personId,name,team,pos,MIN,GP,TS%,TS%_pct,eFG%,eFG%_pct,FTr,FTr_pct,AST/TO,AST/TO_pct,PTS36,PTS36_pct,REB36,REB36_pct,OREB36,OREB36_pct,DREB36,DREB36_pct,AST36,AST36_pct,STL36,STL36_pct,BLK36,BLK36_pct,TOV36,TOV36_pct,USG%,USG%_pct,AST%,AST%_pct,REB%,REB%_pct,OREB%,OREB%_pct,DREB%,DREB%_pct,STL%,STL%_pct,BLK%,BLK%_pct
1314581,R. Previatti,WEL,PF,318.1,21,61.3,80.2,61.3,85.6,30.0,56.3,1.13,35.1,12.56,28.4,6.45,53.6,2.15,64.4,4.3,49.1,1.92,27.5,0.91,25.2,0.68,74.3,1.7,29.3,15.1,14.9,8.3,23.4,9.4,55.0,6.6,68.5,11.9,46.4,1.3,24.8,1.9,73.9
15196,M. Cabot,CNF,G,302.2,19,49.1,16.2,46.4,20.3,18.4,21.2,1.8,68.9,12.39,27.5,3.22,9.5,0.83,18.5,2.38,7.7,2.14,36.0,1.43,59.0,0.0,6.8,1.19,10.8,16.2,21.2,9.1,31.5,4.3,4.5,2.2,18.0,6.5,7.2,2.0,56.8,0.0,6.8
17669,G. Espindola,CNF,F,483.9,22,47.3,10.4,43.3,7.7,40.3,80.2,1.68,64.4,12.35,26.6,7.81,68.0,2.98,81.5,4.84,59.9,2.38,46.4,1.79,81.5,0.22,41.9,1.41,18.5,16.9,25.2,9.2,33.8,10.6,64.0,7.8,77.9,13.5,57.7,2.4,75.7,0.7,43.7
999249,M. Bianchi,DSC,PF,427.0,22,68.2,95.0,61.6,90.1,69.5,97.7,1.0,25.2,12.31,25.7,6.24,51.8,2.53,73.4,3.71,36.5,1.77,24.8,1.18,44.6,0.93,86.9,1.77,32.4,13.8,7.7,8.0,22.1,9.0,52.3,7.6,75.7,10.3,34.7,1.7,44.6,2.7,86.9
17571,F. Pereiras,AGU,PG,498.0,22,56.6,59.0,53.6,54.5,21.9,34.7,2.06,82.4,12.29,24.8,3.98,20.3,1.59,53.6,2.39,8.6,2.39,47.3,1.16,42.3,0.07,17.1,1.16,9.5,14.5,14.0,9.5,34.7,5.6,19.4,4.6,54.1,6.5,7.2,1.6,38.7,0.2,17.6
17110,O. Medina,MAL,F,300.4,22,61.7,83.8,61.6,90.1,27.4,50.0,1.0,25.2,12.1,23.9,6.83,55.4,3.0,82.4,3.83,41.0,1.32,7.7,1.44,59.9,0.0,6.8,1.32,15.8,14.0,9.5,6.0,8.6,10.2,59.5,8.7,84.2,11.7,44.1,2.1,60.4,0.0,6.8
1723827,M. Mac Mullen,DSC,PG,236.5,22,56.3,52.7,55.5,68.0,21.9,34.7,2.25,87.8,12.03,23.0,4.87,37.8,2.28,68.5,2.59,11.3,1.37,10.4,1.52,64.9,0.15,31.1,0.61,0.5,14.1,10.4,5.8,7.2,7.3,41.4,6.6,68.5,8.0,14.4,2.2,65.8,0.5,36.5
1644398,J. Sacco,UUN,PF,246.7,19,51.8,29.3,52.4,40.1,62.9,96.8,0.91,20.3,11.97,22.1,10.51,92.3,4.82,98.6,5.69,68.9,4.23,72.5,2.33,94.1,0.73,76.6,4.67,99.5,19.9,48.2,19.5,75.7,15.4,93.2,13.9,99.5,17.0,73.4,3.4,95.0,2.2,80.6
15216,E. Gonzalez,COR,F,489.1,22,49.8,20.3,47.4,24.8,14.4,9.9,1.18,38.7,11.92,21.2,6.04,50.0,1.55,52.3,4.49,51.8,2.87,57.2,0.88,21.6,0.07,17.1,2.43,59.5,17.5,28.8,13.2,58.1,8.7,48.6,4.3,48.6,13.5,57.7,1.2,18.9,0.2,17.6
1942261,M. Espinosa,BIG,G,441.6,21,56.2,51.4,53.0,50.9,22.9,40.1,2.38,91.4,11.9,20.3,4.57,29.7,1.47,49.1,3.1,23.9,4.65,78.8,2.36,95.0,0.0,6.8,1.96,41.9,16.3,22.1,19.1,73.4,6.7,31.1,4.3,48.6,9.2,23.9,3.5,95.9,0.0,6.8
16508,A. Acosta,GOE,G,454.4,18,50.0,21.6,45.9,18.9,24.1,42.3,1.61,60.4,11.65,19.4,3.64,12.2,0.79,16.7,2.85,18.5,5.23,86.0,1.66,73.0,0.4,57.2,3.25,83.3,18.5,36.9,23.8,86.9,5.1,13.5,2.1,15.8,8.6,21.2,2.4,75.7,1.1,56.8
16177,M. Romero,MAL,G,489.6,22,53.7,39.2,49.6,33.8,28.7,52.3,1.51,54.5,11.47,18.5,4.78,36.5,1.54,50.9,3.24,26.6,4.34,74.3,1.25,47.3,0.0,6.8,2.87,75.7,17.0,26.6,19.5,75.7,6.8,34.2,4.3,48.6,9.4,25.7,1.8,49.1,0.0,6.8
1661038,P. Gomez,CNF,C,245.9,17,51.0,25.7,43.5,8.6,53.2,92.3,0.47,3.2,11.42,17.6,8.64,77.9,4.1,95.9,4.54,53.6,1.17,4.1,0.44,2.3,0.88,85.1,2.49,64.9,16.0,20.3,4.7,4.1,11.8,74.3,10.8,92.3,13.0,54.1,0.6,1.8,2.8,89.2
983931,T. Leites,COR,F,509.8,22,56.5,57.2,52.5,41.0,38.8,75.7,1.71,65.3,11.3,16.7,4.52,27.5,1.77,59.0,2.75,14.0,1.69,20.7,0.49,6.8,0.28,46.4,0.99,5.9,13.5,6.8,7.7,20.3,6.3,27.0,5.0,56.3,7.6,11.3,0.7,5.0,0.7,43.7
43252,M. Sarni,UUN,G,611.5,22,48.3,13.1,44.4,12.6,33.9,64.9,3.84,99.5,11.19,15.8,5.83,48.2,2.06,62.6,3.77,38.7,12.42,99.5,3.36,99.5,0.0,6.8,3.24,82.4,18.5,36.9,50.7,99.5,8.8,50.5,5.8,63.5,12.4,50.5,5.0,99.5,0.0,6.8
2261706,S. Conceicao,GOE,C,264.1,10,53.4,37.8,50.7,38.3,29.4,54.5,0.44,1.4,11.18,14.9,8.32,73.0,2.18,65.3,6.13,77.0,0.95,2.3,1.23,45.9,1.91,95.9,2.18,51.8,15.7,19.4,4.3,2.3,11.5,71.6,6.3,64.4,16.2,68.0,1.7,44.6,5.4,97.3
539387,F. Soto,DSC,F,459.0,18,53.0,36.5,52.8,46.4,9.6,3.6,2.08,83.3,10.82,14.0,5.1,41.9,0.86,22.1,4.24,47.3,2.12,34.2,1.1,36.5,0.47,60.4,1.02,6.8,14.4,13.1,9.1,31.5,7.5,44.6,2.5,22.1,12.6,51.8,1.6,38.7,1.4,62.2
258681,M. Rojas,CAP,PF,436.6,21,55.9,48.6,54.5,61.7,39.0,77.0,1.26,47.3,10.8,13.1,10.14,91.0,2.72,77.0,7.42,93.2,3.63,67.1,0.91,25.2,0.25,44.6,2.89,77.0,15.6,18.5,15.0,61.3,14.8,89.6,8.3,81.5,20.7,95.0,1.3,24.8,0.7,43.7
208488,J. Ducasse,UAT,F,608.8,22,49.1,16.2,47.3,23.9,21.9,34.7,1.23,44.6,10.76,12.2,8.4,74.3,1.71,55.4,6.68,86.0,1.6,14.9,1.06,34.2,1.36,91.4,1.3,13.1,15.5,17.1,6.8,11.3,11.7,73.4,4.9,55.4,18.3,80.2,1.5,33.8,3.8,92.3
258698,M. Mayora,HYM,G,464.2,21,51.9,30.2,45.0,14.9,45.0,87.8,3.24,97.7,10.7,11.3,4.5,26.6,1.32,41.4,3.18,24.8,4.27,73.4,2.25,92.3,0.08,19.8,1.32,15.8,13.9,8.6,17.5,68.9,6.4,28.8,3.5,39.6,9.6,28.4,3.1,90.5,0.2,17.6
16616,N. Catala,BIG,F,288.6,22,45.8,5.0,42.2,5.9,24.1,42.3,2.0,77.9,10.48,10.4,5.99,49.1,1.25,40.1,4.74,57.7,1.75,23.9,0.5,7.7,0.5,64.4,0.87,2.3,15.4,15.8,7.3,16.2,8.8,50.5,3.5,39.6,14.6,62.2,0.7,5.0,1.5,65.3
15259,S. Zanotta,HYM,G,552.9,21,46.2,5.9,43.2,6.8,16.9,16.7,2.23,86.9,9.96,9.5,3.97,19.4,0.46,9.5,3.52,32.9,7.68,96.8,1.11,37.4,0.13,25.2,3.45,88.7,16.9,25.2,30.6,96.8,5.5,17.1,1.3,9.0,9.8,31.1,1.6,38.7,0.4,28.4
